date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-05-01,16933,634,4439077,7001.69873817035,2.81625951,75082379.30649516,26660319.867965125,471.47429906036103,0.0706500406402235,0.3073310176526979,0.1,0.43500472875556107,632.31786373,2750.6126079916444,0.0148591306118496,31700.0,67.0359978007624,137896.49901551282,31700.0,137896.49901551282,21.99723719,,0.03746365417875532,4.3500472875556095,,186.81372600615757,17260129.45222158,8950,18197,784649.87667448,3413264.0677086655,956.3757874870099,4160.279900241729,5.97130818,25.97547295156762,17403170.20490113,75704613.34469876,,0.33538237443069396,
2013-05-02,15862,523,4081466,7803.95028680688,2.11449374,56174802.22281794,26566549.333246324,482.51251078516196,0.0655894748934073,0.21314452252257907,0.1,0.324967569673291,532.25858876,1729.667800270728,0.0125445875266484,26150.0,55.21575667211221,84979.01946956558,26150.0,84979.01946956558,37.62373491,,0.03055901453221032,3.2496756967329103,,-29.57748302788837,17286279.45222158,8115,16422,459451.44714506,1493068.2016160665,185.55530671865398,602.9945706434307,5.99455515,19.4803601836801,3047189.24693374,9902376.839106433,,0.2717656441884543,
2013-05-03,12821,398,3351321,8420.40452261307,1.81150166,48100453.20674446,26552806.620297216,482.51251078516196,0.0599736622067175,0.1666896116832419,0.05,0.13896901202122303,369.61768018,1027.3080768038194,0.00954635915029839,19900.0,41.970557511280106,55309.666784446745,19900.0,55309.666784446745,36.10694223,,0.028856638491406118,2.77938024042446,,-39.769081465568064,17306179.45222158,6163,12590,479303.37995649,1332166.3434197253,105.913867964963,294.3749118087433,5.0,13.896901202122299,1333455.59767889,3706180.1396720954,,0.27302958725106696,
2013-05-04,12604,418,3275075,7835.10765550239,1.81447738,48158472.769263335,26541236.236507837,482.51251078516196,0.060504792876799,0.1681658257727498,0.1,0.27793802404244605,382.57180536,1063.3125163610966,0.0100260756905144,20900.0,44.026525229866294,58089.04702487122,20900.0,58089.04702487122,47.92067116,,0.02470612121401267,2.77938024042446,,-48.53194375439055,17327054.45222158,6323,12758,361577.87514759,1004962.4015598738,152.301760512779,423.3045037510762,5.5293929,15.368285367803303,1943065.86062204,5400518.858856245,,0.2710739795013262,
2013-05-05,12092,442,3132389,7086.852941176469,1.78975979,48219897.0725767,26942105.45324063,435.448605670102,0.0537795813048697,0.14947390561705556,2.5e-08,6.94845060106115e-08,313.64251817,871.7318175586674,0.0095676502781865,22100.0,46.495061313879006,61424.303313380566,22100.0,61424.303313380566,23.0511296,,0.023859652161949598,2.77938024042446,,-25.41117018365082,17349154.45222158,5832,11802,752637.92945614,2091866.9893243737,158.851271290525,441.5080845911905,5.00342545,13.906421830166863,1874762.70377078,5210678.414345239,,0.26294943679591776,
2013-05-06,18175,637,4808419,7548.538461538459,1.7319508000000001,48308420.333234236,27892489.951989997,396.552816318814,0.0699390768737041,0.19438728829630048,0.1,0.27793802404244605,742.05360563,2062.449128823747,0.0125570201075574,31850.0,66.8847996210835,88523.26065751906,31850.0,88523.26065751906,19.23173853,,0.02478964538215719,2.77938024042446,,-25.41117018365082,17381004.45222158,10610,21499,903766.67828466,2511911.247578433,172.803778481356,480.28740738176634,7.25,20.150506743077333,3715108.43357067,10325698.97130059,,0.26294943679591776,
2013-05-07,16844,759,4148529,5465.78260869565,2.13407733,59585516.37998651,27920973.43257523,396.552816318814,0.052042094848934004,0.17802213985512627,0.00800457,0.02738150115126153,456.46121392,1561.4321886693124,0.0149619752929923,37950.0,79.52124749109291,129816.83821746513,37950.0,129816.83821746513,27.51717169,,0.030649204145409538,3.42073354986733,,-8.199493942158616,17418929.45222158,8771,17878,633020.34264394,2165393.9238306377,154.757528105338,529.3842684844658,5.19960236,17.78645423882135,2766755.08746723,9464331.951965274,,0.2659310216411985,
2013-05-08,16813,730,4106109,5624.80684931507,2.00896584,56389169.1051856,28068754.56403349,431.871090781141,0.0544171593238592,0.17579277598044918,0.01,0.0323046587077861,490.13535403,1583.3655332559058,0.0156719527086201,36500.0,76.3229574870438,117912.00428341926,36500.0,117912.00428341926,60.80399987,,0.028553812266558117,3.2304658707786102,,-24.25301219678463,17455429.45222158,9007,18712,287076.99309808,927392.4284890939,106.055125049317,342.6074618929762,7.174364895,23.176540937809666,1984503.49992282,6410870.826941373,,0.2648086299333432,
2013-05-09,20473,741,5818787,7852.6140350877195,2.05774927,58553374.80816778,28455057.97901553,469.79810142534006,0.0741298647553541,0.248138279502039,0.1,0.33473456389129197,948.41748968,3174.681147949088,0.0173051586073662,37050.0,77.3089374604497,124019.15592172368,37050.0,124019.15592172368,49.33574845,,0.029893812082800286,3.3473456389129197,,-25.61240644988352,17492479.45222158,12794,26272,354559.92871679,1186834.6311234233,106.642797901741,356.9703044778647,8.78125417,29.393892850135405,2801719.58647454,9378323.83924246,,0.2646808874331909,
2013-05-10,18002,740,4906106,6629.87297297297,2.04741718,58677226.59680753,28659145.40816069,469.79810142534006,0.0673007092872817,0.2252787357285286,0.1,0.33473456389129197,705.37873404,2361.1464291707107,0.0172818048170729,37000.0,77.0416488225408,123851.78863977805,37000.0,123851.78863977805,46.08441551,,0.028441805999388663,3.3473456389129197,,-8.519897823005524,17529479.45222158,10481,21631,380377.60176753,1273255.3064166969,108.34632022894002,362.6725825106049,6.68221419,22.367680527178525,2343639.2528722,7844970.632286896,,0.2620540514996395,
