date,AdrActCnt,CapMrktCurUSD
2013-05-01,83664,1289224863.2577167
2013-05-02,82318,1181072403.7427328
2013-05-03,82210,1070069481.6966926
2013-05-04,70341,1250283521.354362
2013-05-05,72046,1295120354.8237424
2013-05-06,84314,1246998701.4902172
2013-05-07,111196,1241802027.6661525
2013-05-08,101126,1259256954.516318
2013-05-09,82877,1246787690.8437915
2013-05-10,84004,1310944548.467899
2013-05-11,81104,1287061932.2442853
2013-05-12,69104,1280701257.6142762
2013-05-13,82986,1309290368.328104
2013-05-14,84579,1203328284.3548787
2013-05-15,83911,1216221320.3093536
2013-05-16,84369,1260506722.5284374
2013-05-17,78514,1309724907.4601839
2013-05-18,68752,1320050853.4789572
2013-05-19,63144,1307817307.5679665
2013-05-20,72183,1316966680.702922
2013-05-21,82257,1311075950.2803943
2013-05-22,75632,1330841045.243314
2013-05-23,82761,1384488238.2845275
2013-05-24,83234,1443723531.7086804
2013-05-25,69552,1442842700.700099
2013-05-26,69609,1458084131.9281437
2013-05-27,74785,1416455569.2618315
2013-05-28,77841,1411480509.9527013
2013-05-29,79692,1453058332.4655855
2013-05-30,77410,1419399429.3802013
2013-05-31,75957,1434582209.3468971
2013-06-01,66565,1446207401.3631341
2013-06-02,66768,1377596394.872848
2013-06-03,79951,1381873848.829096
2013-06-04,78923,1351501920.6073375
2013-06-05,78551,1359703823.5926514
2013-06-06,73112,1339814370.1351333
2013-06-07,74130,1240591162.2237136
2013-06-08,57561,1229611335.792512
2013-06-09,56850,1125550441.6136785
2013-06-10,61027,1176184371.0284534
2013-06-11,66039,1212170386.11142
2013-06-12,64507,1199975980.6649568
2013-06-13,67482,1143434086.4142456
2013-06-14,74179,1120061949.2339365
2013-06-15,53859,1127965182.1743386
2013-06-16,49113,1118973897.9741032
2013-06-17,57059,1131628982.2687154
2013-06-18,63396,1179042827.4145336
2013-06-19,69066,1180844662.277501
2013-06-20,69393,1180187215.652406
2013-06-21,67982,1147731005.5828898
2013-06-22,58423,1132583770.1846802
2013-06-23,51312,1136113617.0189688
2013-06-24,65308,1122112296.752293
2013-06-25,61404,1108755117.731877
2013-06-26,66298,1118465117.7360034
2013-06-27,59748,1097920368.0880268
2013-06-28,69884,1014602834.5870996
2013-06-29,60173,1007861667.6620928
2013-06-30,49735,1015963076.0984956
2013-07-01,68318,941200729.8550056
2013-07-02,64222,997745649.5225523
2013-07-03,65913,883064123.3690087
2013-07-04,60723,899798285.180964
2013-07-05,60477,767222778.3446608
2013-07-06,55911,754952725.1660111
2013-07-07,49774,820924713.9615768
2013-07-08,63707,842671531.8697886
2013-07-09,67007,853306435.0262109
2013-07-10,65740,969046682.8402269
2013-07-11,73389,997740225.7832277
2013-07-12,79838,1027155020.5523937
2013-07-13,61884,1045148461.7600389
2013-07-14,46805,1026132821.0209177
2013-07-15,63555,1071080758.5093727
2013-07-16,67361,1048445957.748855
2013-07-17,62286,1040300802.3742747
2013-07-18,62207,971279496.8994905
2013-07-19,58937,986247535.3901429
2013-07-20,53871,971455782.516991
2013-07-21,49487,980502571.4748517
2013-07-22,60370,980680504.4855704
2013-07-23,65040,996193006.2832569
2013-07-24,65575,1009997554.0266256
2013-07-25,66060,1033406188.43913
2013-07-26,63241,1031687977.5496287
2013-07-27,51388,1011234977.8688719
2013-07-28,50927,1064162528.9354019
2013-07-29,66163,1070921147.5860305
2013-07-30,71863,1109974490.9137096
2013-07-31,80412,1126113338.875797
2013-08-01,113593,1109809374.1967294
2013-08-02,75758,1104599123.6600635
2013-08-03,58781,1098476608.5801706
2013-08-04,61806,1108785073.3685737
2013-08-05,71751,1122611899.2791588
2013-08-06,71609,1124734225.1187468
2013-08-07,76654,1118080457.817728
2013-08-08,71239,1086342372.6635354
2013-08-09,65764,1066226355.0628031
2013-08-10,57919,1076179830.536225
2013-08-11,54441,1087967756.950172
2013-08-12,104031,1102045453.0971508
2013-08-13,76972,1129194526.9368844
2013-08-14,76346,1145345466.2011495
2013-08-15,74632,1134034630.2359014
2013-08-16,82397,1136581601.4061985
2013-08-17,62108,1152544584.1596513
2013-08-18,57869,1147791400.8145003
2013-08-19,77962,1189978283.6690156
2013-08-20,79492,1210343889.8674977
2013-08-21,85074,1283870902.1012614
2013-08-22,81577,1269649511.6129043
2013-08-23,81517,1249013410.2953281
2013-08-24,63858,1263255684.7992575
2013-08-25,69624,1312409633.4811802
2013-08-26,75443,1301681760.4188888
2013-08-27,95082,1367678672.2776244
2013-08-28,84528,1374681503.3539236
2013-08-29,74770,1381264032.0301712
2013-08-30,88736,1452222118.0856159
2013-08-31,87612,1493551306.6732554
